CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
7577	9913	4	0.87	0.000
7577	13798	4	0.823	15.995
7984	8043	4	0.8006	249.094
8903	9326	4	0.8449	15.995
8157	8884	4	0.8148	-18.010
8691	9914	4	0.8112	-17.007
9621	10892	4	0.8111	14.016
7836	8255	4	0.9247	294.095
7987	8232	4	0.9045	17.026
8689	10659	4	0.9195	0.000
8704	8710	4	0.8738	17.007
8070	8884	4	0.8205	-15.995
8927	9997	4	0.9822	0.000
8002	11236	4	0.8586	17.007
4932	6778	4	0.8467	0.000
7836	7955	4	0.8233	12.986
8638	9463	4	0.8614	-1.003
7984	9923	4	0.8531	-94.166
8335	8903	4	0.9239	0.000
8259	9463	4	0.8006	-19.014
7690	7694	4	0.8079	-17.007
7695	9463	4	0.9457	-0.132
8037	8091	4	0.8174	114.032
7694	8637	4	0.8134	18.010
10885	13798	4	0.8252	15.995
8691	11238	4	0.8046	-17.007
8103	11238	4	0.8238	1.003
8034	8249	4	0.8138	-248.090
7695	9462	4	0.9411	0.871
8692	11238	4	0.8447	144.042
8523	13049	4	0.8206	-15.995
8043	9923	4	0.8782	-343.259
7704	8586	4	0.8073	0.000
6024	7911	4	0.8973	0.000
7825	8037	4	0.8554	18.010
7694	9463	4	0.8975	-1.003
11226	13798	4	0.8393	-2.016
8080	8120	4	0.9028	0.109
7825	7987	4	0.8444	12.984
8335	11235	4	0.8289	0.000
8324	8638	4	0.946	0.000
9326	13798	4	0.8219	0.000
9326	11226	4	0.8215	2.016
7676	8157	4	0.8134	-0.000
8681	8742	4	0.8185	197.090
7825	7836	4	0.8251	-132.042
8043	8880	4	0.8496	305.099
7695	8324	4	0.9426	0.871
9443	9914	4	0.8585	0.000
8523	8903	4	0.8359	-15.995
8232	8249	4	0.8129	278.100
7690	8259	4	0.8933	1.003
8249	8880	4	0.8203	275.089
7168	13555	4	0.8241	29.974
4931	4932	4	0.8367	-18.010
7976	8043	4	0.8057	248.090
7946	7984	4	0.9263	30.009
8324	9247	4	0.9434	0.000
5764	7235	4	0.8171	-2.016
7924	8105	4	0.8615	-0.000
8002	10661	4	0.8278	18.010
7987	8255	4	0.8706	149.068
7072	8903	4	0.8446	0.000
7825	8249	4	0.8189	308.110
7072	8010	4	0.8133	0.000
8103	10066	4	0.8291	1.003
7498	8689	4	0.8001	-0.000
9913	10885	4	0.8458	0.000
9915	11244	4	0.8421	-348.339
7694	7695	4	0.9318	-0.871
8903	9914	4	0.8308	-18.010
8903	9913	4	0.9287	0.000
7836	8232	4	0.9451	162.053
5764	6025	4	0.8111	15.995
7924	7980	4	0.8137	-162.016
8002	9567	4	0.8414	-0.000
7695	8638	4	0.9203	0.871
7694	13555	4	0.8356	29.974
7825	8273	4	0.8062	294.095
8710	8742	4	0.8438	1.003
8692	11235	4	0.8762	162.053
8002	11238	4	0.8696	0.000
8883	8884	4	0.8018	-18.011
7923	8012	4	0.833	-36.021
7923	8104	4	0.8426	0.000
10661	11236	4	0.8604	-1.003
8232	9923	4	0.8432	-95.170
8249	9919	4	0.804	407.132
9462	9463	4	0.8972	-1.003
9997	13555	4	0.8006	12.000
7836	7959	4	0.8594	294.095
9326	10659	4	0.8047	2.016
8903	10885	4	0.8239	0.000
10662	11234	4	0.846	-0.000
7715	8637	4	0.9609	0.000
7979	8249	4	0.8007	132.042
7960	8091	4	0.8438	234.075
8335	9913	4	0.8856	0.000
8091	8880	4	0.8057	451.157
7923	9915	4	0.8373	-0.000
8629	10457	4	0.8665	0.000
7825	7959	4	0.8231	162.053
8037	8255	4	0.8132	144.042
8689	11236	4	0.802	-19.014
8012	9917	4	0.8646	0.000
9443	11236	4	0.8129	17.007
7980	8252	4	0.8431	0.000
8887	8941	4	0.8347	0.053
5764	8070	4	0.8124	15.995
8002	11235	4	0.8857	18.010
8103	9914	4	0.8265	1.003
8689	9326	4	0.8239	-2.016
8968	9997	4	0.8262	0.923
8880	9919	4	0.8086	132.043
8104	8250	4	0.8482	-36.021
8903	13798	4	0.8237	15.995
6025	7911	4	0.8177	18.010
8884	8942	4	0.8286	15.995
7976	7984	4	0.9093	-1.004
7690	8637	4	0.8464	1.003
8010	8903	4	0.9182	-0.000
7072	10885	4	0.8268	0.000
9567	9914	4	0.8602	0.000
8002	9914	4	0.9534	0.000
7434	10066	4	0.8299	-16.031
8032	9919	4	0.8295	-3.011
7946	7960	4	0.8971	-101.030
6025	9155	4	0.8274	0.000
7185	8539	4	0.803	2.015
7168	8638	4	0.9066	0.000
7836	9923	4	0.8127	66.883
7959	8249	4	0.8058	146.057
6025	7185	4	0.8462	0.000
7715	8259	4	0.916	-0.000
9912	11235	4	0.851	-18.010
7980	8012	4	0.8217	132.041
7072	8692	4	0.8045	-162.053
5764	7185	4	0.8093	15.995
9997	13798	4	0.8472	2.016
9621	13555	4	0.8139	12.000
8583	8592	5	0.707	-13.979
5776	5830	6	0.7479	-304.116
10185	10863	7	0.8496	15.995
12429	13428	7	0.8278	13.979
11818	13445	7	0.8019	17.974
10863	11569	7	0.8087	-42.047
11981	12597	7	0.7978	-2.016
11579	12429	7	0.8148	-14.016
13402	13573	7	0.7892	-2.016
13573	13813	7	0.7911	-1.942
12262	13428	7	0.7858	56.026
11981	13656	7	0.8038	15.995
11981	12261	7	0.9145	-2.016
11981	13348	7	0.7964	-1.003
12597	12900	7	0.7932	-15.958
10185	10726	7	0.8137	14.992
13402	13830	7	0.805	0.075
12262	13302	7	0.7925	0.000
11569	13445	7	0.7871	15.995
13573	13656	7	0.784	15.996
11794	11823	7	0.8204	-0.036
10863	13445	7	0.8285	-26.052
11794	12122	7	0.8437	-0.036
12122	13550	7	0.7869	-0.000
10898	13302	7	0.8443	18.010
10407	10726	7	0.8372	1.012
11569	12262	7	0.7958	-13.979
12261	13368	7	0.8029	-13.979
12261	12597	7	0.8685	-0.000
12261	12900	7	0.7867	-15.958
11817	12598	7	0.7876	-20.026
12261	13152	7	0.7826	-13.979
10726	11569	7	0.7885	-41.044
